rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,year,lcia_method,impact,impact_unit,process,absolute_lca,contrib_absolute_lca,contrib_lca_ratio,absolute_lca_per_kwh,contrib_absolute_lca_per_kwh
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,"electricity production, hydro, reservoir, alpine region",0.000290475,0,0,4.1354664876155572e-16,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,"electricity production, photovoltaic",0.000290475,0.00011715964166337232,0.40333812432523392,4.1354664876155572e-16,5.3030292641385708e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,"electricity production, wind, 1-3MW turbine, offshore",0.000290475,5.2591744620066282e-05,0.18105428907846211,4.1354664876155572e-16,2.8672205128028785e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,"electricity production, wind, 1-3MW turbine, onshore",0.000290475,4.4110835468718875e-05,0.15185759693164258,4.1354664876155572e-16,3.5015307797533743e-16
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, biogeochemical flows, phosphorus",P GLO,Tg P yr-1,"heat and power co-generation, wood chips, 6667 kW",0.000290475,2.5191298972718083e-05,0.086724499432715665,4.1354664876155572e-16,3.1321714822349722e-15
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,EU electricity market imports,0.012373228,0.0048538830576831428,0.39228914699406997,1.7615643518251389e-14,4.7787249423963765e-14
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,Other life cycle contributions,0.012373228,0.0016255996808504012,0.13138040298379705,1.7615643518251389e-14,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,Transmission corona,0.012373228,0,0,1.7615643518251389e-14,
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,"electricity production, hydro, reservoir, alpine region",0.012373228,0,0,1.7615643518251389e-14,0
reference,m0,SSP1,image,SSP1-L,1.7-2.0,2060,"AESA (PBs-LCIA), 0.9.1, change in biosphere integrity, functional diversity, total",BI FD,%BII loss,"electricity production, photovoltaic",0.012373228,0.0020923467170909319,0.16910273673862083,1.7615643518251389e-14,9.4706414051563003e-15
