rte_consumption_scenario,rte_production_scenario,ssp_scenario,iam_model,iam_scenario,gmst,lcia_method,impact,impact_unit,year,value
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2027,22535520918
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2028,21266929729
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2029,19981705938
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2030,18679849545
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2031,17743557175
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2032,16779840001
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2033,15788698025
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2034,14770131244
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2035,13724139661
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2036,12650723274
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2037,11549882084
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2038,10421616091
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2039,9265925294
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2040,8082809694
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2041,8515839305
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2042,8957603622
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2043,9408102644
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2044,9867336372
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2045,10335304806
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2046,10812007945
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2047,11297445790
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2048,11791618340
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2049,12294525596
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2050,12806167558
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2051,13167309752
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2052,13528451946
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2053,13889594140
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2054,14250736335
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2055,14611878529
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2056,14973020723
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2057,15334162917
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2058,15695305111
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2059,16056447306
reference,n03,SSP1,image,SSP1-L,1.7-2.0,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2060,16417589500
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2026,25581916235
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2027,24662191054
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2028,23729752073
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2029,22784599291
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2030,21826732709
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2031,21269793083
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2032,20684985742
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2033,20072310683
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2034,19431767908
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2035,18763357417
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2036,18067079209
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2037,17342933284
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2038,16590919642
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2039,15811038284
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2040,15003289210
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2041,16437181173
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2042,17913215080
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2043,19431390931
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2044,20991708726
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2045,22594168465
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2046,24238770148
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2047,25925513775
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2048,27654399346
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2049,29425426861
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2050,31238596320
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2051,32602963890
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2052,33968949341
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2053,35336552673
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2054,36705773885
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2055,38076612979
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2056,39449069953
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2057,40823144808
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2058,42198837544
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2059,43576148161
reference,m0,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2060,44955076658
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2026,23903845639
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2027,22769649293
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2028,21620216449
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2029,20455547106
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2030,19275641265
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2031,18493850234
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2032,17688119232
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2033,16858448258
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2034,16004837313
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2035,15127286396
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2036,14225795508
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2037,13300364648
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2038,12350993816
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2039,11377683013
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2040,10380432239
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2041,11095402925
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2042,11825902418
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2043,12571930717
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2044,13333487822
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2045,14110573733
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2046,14903188450
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2047,15711331974
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2048,16535004303
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2049,17374205439
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2050,18228935381
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2051,18870984170
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2052,19513032960
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2053,20155081749
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2054,20797130538
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2055,21439179328
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2056,22081228117
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2057,22723276906
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2058,23365325696
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2059,24007374485
reference,n03,SSP1,image,SSP1-M,2.5-2.8,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2060,24649423274
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2026,25457372357
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2027,24411617813
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2028,23351663983
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2029,22277510866
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2030,21189158462
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2031,20081585619
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2032,18929407955
reference,m0,SSP1,image,SSP1-VLLO,<1.5,"IPCC 2021, climate change, global warming potential (GWP100)",GWP_100,kg CO2-eq,2033,17732625470
